code,manufacturer,model,year_built,beamsplitter,detector,mirror_material,accessory,background,sample_presentation,neat_mulled,purged
1,Bruker,Tensor,NA,KBr,NA,NA,Bruker-HTS-XT,Roughened-Gold,Pressed-Levelled,NA,NA
2,Bruker,Alpha,2020,KBr,DTGS,Gold,Bruker-QuickSnap,Roughened-Gold,Levelled,Neat,No
3,Bruker,Vertex,2013,KBr,DTGS,NA,Bruker-HTS-XT,Roughened-Gold,Levelled,Neat,NA
4,Perkin-Elmer,Spectrum-100,2010,KBr,DTGS,NA,Pike-AutoDiff,KBr,Levelled,NA,NA
5,Agilent,4300-Handheld-FTIR,2014,ZnSe,DTGS,Aluminium,Handheld-FTIR,Roughened-Aluminium,Pressed-Levelled,NA,No
6,Bruker,Alpha,2012,ZnSe,DTGS,Gold,Bruker-QuickSnap,Roughened-Gold,Pressed-Levelled,Neat,NA
7,Bruker,Alpha,2013,ZnSe,DTGS,Gold,Bruker-QuickSnap,Roughened-Gold,Levelled,Neat,No
8,Bruker,Vertex,2015,Widerange,MIR-detector,Gold,Pike-AutoDiff,Mirror,Levelled,Neat,Yes
9,Thermo-Fisher,Nicolet,2020,KBr,MCT,Aluminium,Termo-Fisher-Collector-II,Mirror,Pressed-Levelled,Neat,Yes
10,Bruker,Vertex,2017,KBr,MCT,Gold,Bruker-HTS-XT,Roughened-Gold,Pressed,NA,NA
11,Bruker,Alpha,2021,KBr,DTGS,Gold,Bruker-Front-Facing,Roughened-Gold,Pressed,Neat,No
12,Thermo-Fisher,Nicolet,2018,KBr,DTGS,Gold,"Pike-X,Y-Autosampler",KBr,Levelled,NA,No
13,Perkin-Elmer,FT-IR-II,2018,ZnSe,DTGS,Aluminium,Perkin-Elmer-DRIFT,Mirror,Levelled,Neat,No
14,Thermo-Fisher,Nicolet,2015,KBr,DTGS,Gold,"Pike-X,Y-Autosampler",KBr,Levelled,Neat,No
15,Bruker,Alpha,2019,ZnSe,DTGS,Gold,Bruker-QuickSnap,Roughened-Gold,Levelled,Neat,No
16,Bruker,Vertex,NA,KBr,MCT,NA,Bruker-HTS-XT,Roughened-Aluminium,Pressed,Neat,No
17,Bruker,Invenio,2022,KBr,DTGS,Gold,Bruker-HTS-XT,Roughened-Gold,Pressed,NA,NA
18,Bruker,Invenio,2020,KBr,MCT,Gold,Bruker-HTS-XT,Roughened-Gold,Pressed,NA,Yes
19,Bruker,Tensor,2016,KBr,DTGS,Gold,Bruker-HTS-XT,Roughened-Gold,Levelled,NA,Yes
20,Bruker,Alpha,2015,ZnSe,DTGS,Gold,Bruker-QuickSnap,Roughened-Gold,Levelled,Neat,NA
