organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
1,carbon_org_perc,logTransform,int10CVrep10,BOC,10,69,0.4076074260143823,0.017125482243675206,0.869322239658516,0.9318061534888292,2.7505605109112956,3.8601028319935704
1,carbon_org_perc,logTransform,int10CVrep10,raw,18,69,0.44048797430580106,0.02463711112125967,0.8688954417480385,0.9311163923965387,2.7649871140214977,3.6602576253970964
1,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,8,69,0.34816503461150816,0.007323230313657337,0.916156476618414,0.9567818270244832,3.462121461104025,4.583115926217086
1,carbon_org_perc,logTransform,int10CVrep10,SNV,9,69,0.40942444223175073,0.030464408340558535,0.8836801299206228,0.9375557776885421,2.9462357507739574,3.900192452363115
1,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,8,69,0.35273764206815117,0.007151363429723825,0.9137558599885944,0.955260296397116,3.4202920765581557,4.5277426758416075
1,carbon_org_perc,logTransform,int10CVrep10,wavelet,8,69,0.34885736861860583,0.012556408147595522,0.9160829351110652,0.9567102778360499,3.4579001608010698,4.577527818213028
1,clay_perc,withoutTransform,int10CVrep10,BOC,5,69,NA,NA,NA,NA,NA,NA
1,clay_perc,withoutTransform,int10CVrep10,raw,6,69,7.628331377402134,0.18886210322215322,0.5882666529990608,0.757944257312831,1.5536060019831341,1.8970475043548414
1,clay_perc,withoutTransform,int10CVrep10,SG1stDer,5,69,8.176120395032799,0.7085979172149895,0.6392433145927552,0.7901628724400562,1.4475674764370532,1.767568009556363
1,clay_perc,withoutTransform,int10CVrep10,SNV,16,69,6.6991620455752,0.25009642469378557,0.7360635729194154,0.8512729296494133,1.7979007597445393,2.195346275051323
1,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,13,69,6.657275764643156,0.45831515503456155,0.7542370990694677,0.8594780203101811,1.7871882120049705,2.1822656021338065
1,clay_perc,withoutTransform,int10CVrep10,wavelet,7,69,6.637337683549234,0.7117303320499554,0.7390337695488916,0.8540209257751266,1.788922676031447,2.1843834882958197
